vulnerability_z,standardized_residual,svi_decile,city
-0.9237246688394556,0.5460019158208921,2,Tokyo
-0.142186894620753,0.722419505743134,6,Tokyo
-0.8877997999239029,0.079724239870186,2,Tokyo
-1.6478208422548677,0.8231353609874722,1,Tokyo
-2.210350910778936,-0.0317639523452481,1,Tokyo
-0.8431527029307089,0.7350106648437497,2,Tokyo
-1.0875495290524506,0.8163782612218006,1,Tokyo
-2.47108364710372,-3.359463278348473,1,Tokyo
-1.8385464294257048,-2.194976252776374,1,Tokyo
-0.9879550230277404,0.0504643804956561,1,Tokyo
0.0757297152888169,-2.104300177276479,7,Tokyo
-0.939426400450978,-0.115304045527835,2,Tokyo
-0.6456060268172891,1.1279314484167626,3,Tokyo
-0.3514279718755138,0.5540126710335205,4,Tokyo
-0.6969189063735483,-0.1243684911333284,3,Tokyo
-0.3257217147056364,0.3868826478212894,5,Tokyo
-0.1090429284599345,0.2423522018093435,6,Tokyo
-0.9515064599348444,0.8913106873612294,2,Tokyo
-0.6060480347829948,-1.2177115067314392,3,Tokyo
-0.4677883945550803,-0.1210753935167123,4,Tokyo
-1.1488784170636626,1.2070513230998707,1,Tokyo
-1.5923268818720826,0.0956495980881449,1,Tokyo
-0.6967726741387482,-0.0224341862890548,3,Tokyo
0.3585277491361661,0.1968921823045804,8,Tokyo
-0.5146515098111212,0.6673963506501698,4,Tokyo
-0.4125691579810543,0.1665940879157993,4,Tokyo
-0.8148692412093728,-0.1012921083362871,2,Tokyo
-0.3414232259938348,0.0514469188948747,4,Tokyo
-0.0661545130170442,0.7059159350476851,6,Tokyo
-0.5329830534564702,0.407644222990415,3,Tokyo
0.4634093273586579,-0.0158244754155807,8,Tokyo
0.0367917873964068,-1.1098262411079922,7,Tokyo
-1.040384209865128,-0.3955944434689484,1,Tokyo
-0.0258450445494488,0.0001291704951027,6,Tokyo
-0.2679932580556837,1.066232213441262,5,Tokyo
-0.5971876600378583,0.2346284966015355,3,Tokyo
-0.9338360436512252,-0.8135371621903249,2,Tokyo
-1.3126453674358098,0.7441917555523792,1,Tokyo
-0.7720364073902826,0.404225178277388,2,Tokyo
